blockNumber,from,to,value,gasUsed,hash,timestamp,tx_type,contract_deploy
19121958,0x1b954b4a2a35f017414cb3276413d7da208086c1,0x0a7a5fdc69e344688654ce4e35645da4eaf60449,1.35147,211835,0x33440c219164bbb075b8d1be813231ca4175fba604d8df5e3230413c3b37fd68,2025-04-05 08:09:33,0x0,0
19671155,0x96bb019fc34987f44fad4f9f56ea2e666e1df70d,0x1a4d37a32ef1d88f159f5796fbec1da66ff19052,3.7932,39231,0x675b74ce315675c7d865b82fc7ee6a7ef445557bc04e87cee243260c9a89ca75,2025-04-08 08:35:46,0x2,0
19131932,0x89c12d07b648ca29c6414e4e81936ea44a9b08f0,0x9c8f4b783bc6997466b3ae0ae2252b26e9a17fea,1.48336,24246,0x3670c82fc320c1eb0802ad057567d748eda080145b4ce24280b3f38dc88e0e0d,2025-04-10 01:01:08,0x0,0
19365838,0x327ea07109ef71c640cef3786e9a888de60440e1,0x880af46144a039deb864728bc9693b8f6d188f48,3.16276,210954,0x7129e903177126d0477fea9873bf9902ce81d86ead8081064144d6f7ea261090,2025-04-02 11:32:36,0x0,0
19259178,0xda88e144fedbd944c40a2e7d0201ba6005d26bc6,0x3834d0ab0284289b0da1d582363ceff42ffd1882,1.32631,22316,0xe744194c2ebbd184d3bfdf4346333c6583c4cef3a9288d41f9f1dfce77897bc7,2025-04-09 12:16:07,0x1,0
19644167,0xaa7c5e6caa245677698b7cbc1a4274448bc31d4e,0xc1c2aa8f4368df06e69af3996c59c8b7d4c6bac0,0.6,104870,0x3fcbe48eac13ed0c47381618724a5d77eeacb61078ec52aa8fadfa739d337f71,2025-04-09 21:42:28,0x1,0
19110268,0xb7572d3e73d4e320cac0dba102180e6a1713c38a,0x40f35e9c08eee6601e13ebe26db4c33222202af6,1.13988,117608,0x907aec447fd978731989d75fb80c905156d806401387e8aef85b27b98387bc25,2025-04-02 22:05:27,0x0,0
19732180,0xa8d03f75cad673c6316890dc490eec63d5ede103,0x32c5ab59b16f5b29391d77add2dd7b6419d5fc1f,0.13544,135911,0xfa90de85cac73ba171eb8a7e4d30e5466bd7632c207bc8e568442ad0aa6ef9a5,2025-04-07 12:54:33,0x1,0
19054886,0x17e441894ec1755b963446a7f187243b54be7efc,0xcd48e38f7d551bdedd5703857bf8225145d1704f,0.39239,219155,0xfe0d4e235086bfc9b687ad2ce84ee5392277aab824a9d3bc5f7954c99d334e13,2025-04-08 21:48:14,0x2,0
19137337,0x207afda9137ddf69c76f1544c18c77b684d62793,0x50fb228515328393fb61c713484b87f7f37397e8,2.18014,298433,0x25162eee0afe22b5f65449fca14e6064e526eeabe1c69a56bc06329d273c0f24,2025-04-04 07:38:33,0x0,0
